TPR,FPR,FDR
1,0.002190132,0.731903485
0.99,0.002334537,0.746153846
0.98,0.002382671,0.751898734
1,0.002206177,0.733333333
0.99,0.002687525,0.771889401
0.99,0.00215002,0.730245232
0.99,0.002711592,0.773455378
,,
0.98,0.002270357,0.742782152
0.99,0.002382671,0.75
1,0.002663458,0.768518519
0.98,0.002326514,0.74742268
0.98,0.002093863,0.727019499
0.99,0.002446851,0.754950495
,,
0.99,0.002294424,0.742857143
0.96,0.002109908,0.732590529
0.98,0.002543121,0.763855422
1,0.002270357,0.738903394
0.98,0.002278379,0.743455497
1,0.002446851,0.75308642
0.98,0.002559166,0.76498801
0.99,0.00211793,0.727272727
,,
1,0.002406739,0.75
0.99,0.002511031,0.759708738
0.99,0.002543121,0.762019231
0.99,0.002486963,0.75794621
,,
0.98,0.002238267,0.74005305
1,0.002430806,0.751861042
0.96,0.002478941,0.762962963
1,0.002358604,0.746192893
1,0.002591256,0.763593381
,,
1,0.002406739,0.75
0.97,0.002206177,0.739247312
1,0.002334537,0.744245524
0.99,0.00215002,0.730245232
1,0.002494986,0.756690998
1,0.002366627,0.746835443
0.98,0.002559166,0.76498801
0.95,0.002342559,0.754521964
1,0.002190132,0.731903485
1,0.002390694,0.748743719
0.99,0.002446851,0.754950495
0.99,0.002334537,0.746153846
1,0.002222222,0.734748011
1,0.002511031,0.757869249
1,0.00211793,0.725274725
1,0.002430806,0.751861042
1,0.002310469,0.742268041
1,0.002462896,0.754299754
1,0.002310469,0.742268041
,,
,,
0.96,0.00224629,0.744680851
0.97,0.00211793,0.731301939
,,
1,0.002198155,0.732620321
,,
0.97,0.002005616,0.720461095
,,
,,
0.96,0.002174087,0.738419619
0.98,0.002230245,0.739361702
0.96,0.002318492,0.750649351
,,
0.99,0.002166065,0.731707317
0.95,0.002326514,0.753246753
,,
0.99,0.002021661,0.717948718
1,0.002206177,0.733333333
0.96,0.002077818,0.729577465
,,
0.99,0.002141998,0.729508197
0.97,0.00211793,0.731301939
0.97,0.00208584,0.728291317
0.98,0.002166065,0.733695652
,,
,,
,,
0.91,0.002125953,0.744382022
,,
0.98,0.001989571,0.716763006
0.95,0.002133975,0.736842105
0.98,0.002198155,0.73655914
,,
,,
,,
0.98,0.001893301,0.706586826
0.98,0.001957481,0.713450292
,,
,,
0.98,0.002158043,0.732970027
,,
,,
,,
0.99,0.002061773,0.721910112
0.99,0.002270357,0.740837696
,,
0.97,0.0022142,0.739946381
0.77,0.059358203,0.989700375
,,
0.98,0.002278379,0.743455497
,,
0.98,0.002366627,0.750636132
,,
,,
,,
,,
,,
,,
,,
0.94,0.002166065,0.741758242
0.96,0.002077818,0.729577465
0.9,0.002101885,0.744318182
0.99,0.00211793,0.727272727
0.72,0.024596871,0.977055449
0.97,0.00208584,0.728291317
0.99,0.00211793,0.727272727
0.87,0.001644605,0.702054795
,,
0.98,0.00224629,0.740740741
0.98,0.002077818,0.725490196
0.97,0.002230245,0.741333333
0.98,0.002238267,0.74005305
0.95,0.002077818,0.731638418
0.67,0.019975933,0.973797419
,,
1,0.002222222,0.734748011
0.95,0.002310469,0.751958225
,,
,,
0.99,0.002037706,0.719546742
0.97,0.002310469,0.748051948
,,
0.99,0.002262335,0.74015748
0.92,0.001973526,0.727810651
0.99,0.002133975,0.728767123
,,
0.98,0.002511031,0.761557178
